subject,body,category,Text
Get placed in unicorns  hyper growth startups  and global MNCs.,"Hey ,Which is your dream company? Chances are they are already hiring our grads. With a strong and growing network, we have a pool of 240+ hiring partners and 400+ companies where our grads are working. Top Unicorns like Flipkart, Groww, CRED; global MNCs like Amazon, Google, Walmart; and hyper-growth startups like Ather, Jumbotail, and Briq have all hired grads from Crio. Itâs your turn to make that dream company a reality! Build a portfolio that validates your skills and gain skills amazing enough to crack jobs at the best companies. Get a free trial to work on interactive projects and learn dev skills in real time with a leading industry mentor. Apply & Start!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here",spam,"Get placed in unicorns  hyper growth startups  and global MNCs Hey ,Which is your dream company? Chances are they are already hiring our grads. With a strong and growing network, we have a pool of 240+ hiring partners and 400+ companies where our grads are working. Top Unicorns like Flipkart, Groww, CRED; global MNCs like Amazon, Google, Walmart; and hyper-growth startups like Ather, Jumbotail, and Briq have all hired grads from Crio. Itâs your turn to make that dream company a reality! Build a portfolio that validates your skills and gain skills amazing enough to crack jobs at the best companies. Get a free trial to work on interactive projects and learn dev skills in real time with a leading industry mentor. Apply & Start!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here"
Your call to work at top tech companies with high paying salaries.,"Hey ,With a whopping average salary hike of 89%, Crio grads are working at 400+ companies across the globe like Amazon, Google, Walmart, CRED, Groww, and more. Our grads are powering the digital economy across companies including MAANG, Unicorns, MNCs, Growing startups, and large digital consulting companies. And it all started with a free trial with industry experts. Now, itâs your turn!Work on interactive projects and learn dev skills in real-time with a leading industry mentor.Apply & Start now to crack high paying jobs!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here",spam,"Your call to work at top tech companies with high paying salaries Hey ,With a whopping average salary hike of 89%, Crio grads are working at 400+ companies across the globe like Amazon, Google, Walmart, CRED, Groww, and more. Our grads are powering the digital economy across companies including MAANG, Unicorns, MNCs, Growing startups, and large digital consulting companies. And it all started with a free trial with industry experts. Now, itâs your turn!Work on interactive projects and learn dev skills in real-time with a leading industry mentor.Apply & Start now to crack high paying jobs!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here"
Hey  the highest paying job in 2022 can be yours.,"Hey ,Software engineering is one of the highest-paid jobs in 2022! The average salary for this role in India is 8.1 LPA. (Cutshort) And with increasing work experience, the skyâs the limit. Add product development work experience to your resume. Build real projects, improve your coding style, and build your problem-solving skills.Impress recruiters with your resume and portfolio of real work experience today. Get a free trial where you work on interactive projects and learn dev skills in real-time with a leading industry mentor. Start Now & land a high-paying job!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here",spam,"Hey  the highest paying job in 2022 can be yours Hey ,Software engineering is one of the highest-paid jobs in 2022! The average salary for this role in India is 8.1 LPA. (Cutshort) And with increasing work experience, the skyâs the limit. Add product development work experience to your resume. Build real projects, improve your coding style, and build your problem-solving skills.Impress recruiters with your resume and portfolio of real work experience today. Get a free trial where you work on interactive projects and learn dev skills in real-time with a leading industry mentor. Start Now & land a high-paying job!Thank you,RathinaCo-founder, Crio.Do Unsubscribe here"
Here âs your ticket to the big leagues (Google Amazon Microsoft).,"Hey ,At IITs, computer science students get job offers worth crores. And now, Crio students have joined the big leagues too. :) A Crio grad has cracked a job at Google, London with a 1.05 Cr package! Now, itâs your turn to join the big leagues. Build a portfolio that validates your experience and gain skills amazing enough to crack jobs at the best companies.Get a free trial where you work on interactive projects and learn dev skills in real time with a leading industry mentor. Apply & Start building your work experience today! Thank you,RathinaCo-founder, Crio.Do Unsubscribe here",spam,"Here âs your ticket to the big leagues (Google Amazon Microsoft) Hey ,At IITs, computer science students get job offers worth crores. And now, Crio students have joined the big leagues too. :) A Crio grad has cracked a job at Google, London with a 1.05 Cr package! Now, itâs your turn to join the big leagues. Build a portfolio that validates your experience and gain skills amazing enough to crack jobs at the best companies.Get a free trial where you work on interactive projects and learn dev skills in real time with a leading industry mentor. Apply & Start building your work experience today! Thank you,RathinaCo-founder, Crio.Do Unsubscribe here"
Go anywhere with Uber Intercity,"A better way to get away Go out-of-town anytime with Uber Intercity Travelling past the borders of your city is now just a few taps away, with affordable one-way fares and the freedom to book your ride anytime anywhere . Uber Intercity is the better way to get away âï¸Affordable one-way fares âï¸ Available at your doorstep anytime âï¸Travel to 1000+ routes. Book Now to get special discounts. Promotion is auto-applied! Book Now Questions regarding how to use Uber Intercity? Visit the link below to understand availability, pricing, fare calculations and more. Know more â¯ Help Center Unsubscribe Terms Privacy Email Preferences Uber India Systems Private Limited SCO 300, Sector 29, Gurgaon, Haryana Uber.com",spam,"Go anywhere with Uber Intercity A better way to get away Go out-of-town anytime with Uber Intercity Travelling past the borders of your city is now just a few taps away, with affordable one-way fares and the freedom to book your ride anytime anywhere . Uber Intercity is the better way to get away âï¸Affordable one-way fares âï¸ Available at your doorstep anytime âï¸Travel to 1000+ routes. Book Now to get special discounts. Promotion is auto-applied! Book Now Questions regarding how to use Uber Intercity? Visit the link below to understand availability, pricing, fare calculations and more. Know more â¯ Help Center Unsubscribe Terms Privacy Email Preferences Uber India Systems Private Limited SCO 300, Sector 29, Gurgaon, Haryana Uber.com"
Learn Software Architecture with Python [free 5-hour coding course],"Here are this week's five links that are worth your time: 1. freeCodeCamp just published a hands-on Microservice Architecture course. This is a great way to learn about Distributed Systems. You can code along at home, and build your own video-to-MP3 file converter app. Along the way, you'll learn some MongoDB, Kubernetes, and MySQL. (5 hour YouTube course): https://www.freecodecamp.org/news/microservices-and-software-system-design-course/ 2. TypeScript is like JavaScript, but with static types. For each variable, you specify whether it's a string, integer, boolean, or other data type. If you already know some JavaScript, TypeScript may not take that much time to learn. And it can reduce the number of bugs in your code. freeCodeCamp has converted almost our entire codebase to use TypeScript. It still has all the power of JavaScript, but it's now a bit easier for us to build new features. This beginner course will teach you everything you need to get started coding TypeScript. (5 hour YouTube course): https://www.freecodecamp.org/news/programming-in-typescript/ 3. Testing is a vital part of the software development process. You want to ensure that all your app's features work as intended. Thankfully, there are some powerful tools out there to help you write robust tests. This handbook will teach you how to code the most fundamental type of test: unit tests. It will also show you some web development best practices for using Jest and the React Testing Library. (full-length handbook): https://www.freecodecamp.org/news/how-to-write-unit-tests-in-react-redux/ 4. Learn CSS and Responsive Web Design for beginners. Jessica's new guide will walk you through one of freeCodeCamp's most popular projects: coding your own cafÃ© menu. She'll show you how to build it step-by-step. You can do this entire project on freeCodeCamp's core curriculum interactively, and reference Jessica's article when you get stuck or just need additional context. (45 minute read): https://www.freecodecamp.org/news/learn-css/ 5. Also, freeCodeCamp just published a massive Bootstrap course in Spanish, where you'll code your own portfolio. (We've also published several Bootstrap courses in English, too). If you have Spanish-speaking friends who want to learn web development and design, please tell them that we now have in-depth courses on a broad range of coding topics. These are all taught in Spanish by Estefania. She's an experienced teacher and software engineer. (5 hour YouTube course): https://www.freecodecamp.org/news/learn-bootstrap-5-in-spanish-by-building-a-portfolio-website-bootstrap-course-for-beginners/ The freeCodeCamp community is making steady progress toward our multi-year vision of developing freely available Math and Computer Science university degrees. If you're digging these learning resources, I think you'll dig what our charity is up to. Be sure to support our mission: https://www.freecodecamp.org/news/freecodecamp-math-computer-science-degree-update/ Quote of the Week: âThe Evolution of Software Architecture: 1990s: Spaghetti-Oriented Architecture (AKA Copy & Paste) 2000s: Lasagna-Oriented Architecture (AKA Layered Monolith) 2010s: Ravioli-Oriented Architecture (AKA Microservices) What's next? Probably Pizza-Oriented Architecture.â â Benoit Hediard, Developer, Software Architect, and CTO of Agorapulse Happy coding. -- Quincy Larson Teacher at https://www.freecodecamp.org I share useful things on Twitter at https://www.twitter.com/ossia If these emails aren't worth your time, you can turn them off: https://www.freecodecamp.org/ue/I3RUFM1EYODPDO0HO7lQ",spam,"Learn Software Architecture with Python [free 5-hour coding course] Here are this week's five links that are worth your time: 1. freeCodeCamp just published a hands-on Microservice Architecture course. This is a great way to learn about Distributed Systems. You can code along at home, and build your own video-to-MP3 file converter app. Along the way, you'll learn some MongoDB, Kubernetes, and MySQL. (5 hour YouTube course): https://www.freecodecamp.org/news/microservices-and-software-system-design-course/ 2. TypeScript is like JavaScript, but with static types. For each variable, you specify whether it's a string, integer, boolean, or other data type. If you already know some JavaScript, TypeScript may not take that much time to learn. And it can reduce the number of bugs in your code. freeCodeCamp has converted almost our entire codebase to use TypeScript. It still has all the power of JavaScript, but it's now a bit easier for us to build new features. This beginner course will teach you everything you need to get started coding TypeScript. (5 hour YouTube course): https://www.freecodecamp.org/news/programming-in-typescript/ 3. Testing is a vital part of the software development process. You want to ensure that all your app's features work as intended. Thankfully, there are some powerful tools out there to help you write robust tests. This handbook will teach you how to code the most fundamental type of test: unit tests. It will also show you some web development best practices for using Jest and the React Testing Library. (full-length handbook): https://www.freecodecamp.org/news/how-to-write-unit-tests-in-react-redux/ 4. Learn CSS and Responsive Web Design for beginners. Jessica's new guide will walk you through one of freeCodeCamp's most popular projects: coding your own cafÃ© menu. She'll show you how to build it step-by-step. You can do this entire project on freeCodeCamp's core curriculum interactively, and reference Jessica's article when you get stuck or just need additional context. (45 minute read): https://www.freecodecamp.org/news/learn-css/ 5. Also, freeCodeCamp just published a massive Bootstrap course in Spanish, where you'll code your own portfolio. (We've also published several Bootstrap courses in English, too). If you have Spanish-speaking friends who want to learn web development and design, please tell them that we now have in-depth courses on a broad range of coding topics. These are all taught in Spanish by Estefania. She's an experienced teacher and software engineer. (5 hour YouTube course): https://www.freecodecamp.org/news/learn-bootstrap-5-in-spanish-by-building-a-portfolio-website-bootstrap-course-for-beginners/ The freeCodeCamp community is making steady progress toward our multi-year vision of developing freely available Math and Computer Science university degrees. If you're digging these learning resources, I think you'll dig what our charity is up to. Be sure to support our mission: https://www.freecodecamp.org/news/freecodecamp-math-computer-science-degree-update/ Quote of the Week: âThe Evolution of Software Architecture: 1990s: Spaghetti-Oriented Architecture (AKA Copy & Paste) 2000s: Lasagna-Oriented Architecture (AKA Layered Monolith) 2010s: Ravioli-Oriented Architecture (AKA Microservices) What's next? Probably Pizza-Oriented Architecture.â â Benoit Hediard, Developer, Software Architect, and CTO of Agorapulse Happy coding. -- Quincy Larson Teacher at https://www.freecodecamp.org I share useful things on Twitter at https://www.twitter.com/ossia If these emails aren't worth your time, you can turn them off: https://www.freecodecamp.org/ue/I3RUFM1EYODPDO0HO7lQ"
This is your sign to work at a product-based company.,"Hey ,What does it take to crack a job at a product-based company?What skills do you need to get shortlisted by hiring managers at these companies?Learn from seasoned industry leaders what skills you need, and how you can add product development work experience to your resume.Get a free trial where you work on interactive projects and learn dev skills in real-time with a leading industry mentor. Apply & Start building your work experience today! Thank you,RathinaCo-founder, Crio.Do Unsubscribe here",spam,"This is your sign to work at a product-based company Hey ,What does it take to crack a job at a product-based company?What skills do you need to get shortlisted by hiring managers at these companies?Learn from seasoned industry leaders what skills you need, and how you can add product development work experience to your resume.Get a free trial where you work on interactive projects and learn dev skills in real-time with a leading industry mentor. Apply & Start building your work experience today! Thank you,RathinaCo-founder, Crio.Do Unsubscribe here"
Item Due Reminder,"Dear SINCHANA R, The following item is now due: The Cartoon Guide to Statistics, Gonick, Larry, and Smith, Woollcott (078633)",ham,"Item Due Reminder Dear SINCHANA R, The following item is now due: The Cartoon Guide to Statistics, Gonick, Larry, and Smith, Woollcott (078633)"
Sinchana, thanks for being a valued member,ham,Sinchana  thanks for being a valued member
Sinchana," â¹30 off with Google Pay Offer expires 30th November, 2022 Get â¹30 off per trip on your first 2 trips paid via Google Pay Hi Sinchana, Youâll get a â¹30 discount per trip on your first 2 Google Pay trips. You can now pay for your ride with Google Pay to minimise contact & unlock savings. Book a Ride Hereâs all you have to do: 1. Tap the menu icon on your Uber app 2. Tap on Payment 3. Add payment method with Google Pay 4. Discount will automatically be applied on your first 2 trips paid using Google Pay on Uber Add Google Payâ¯ Terms & Conditions: This offer is only valid until 30th November, 2022. This offer is only applicable to (i) users who are taking their first 2 trips on Uber via Google Pay, and (ii) trip fares of â¹32 or more. To be entitled to receive this offer, Google Pay must be added as a payment method to your Wallet. The discount will only be applied on the first 2 trips taken and paid via Google Pay as a payment method. In case of trip fare less than â¹32, the discount offered is 95% of the trip fare. Help Center Unsubscribe Terms Privacy Email Preferences Uber India Systems Private Limited SCO 300, Sector 29, Gurgaon, Haryana Uber.com",spam,"Sinchana  â¹30 off with Google Pay Offer expires 30th November, 2022 Get â¹30 off per trip on your first 2 trips paid via Google Pay Hi Sinchana, Youâll get a â¹30 discount per trip on your first 2 Google Pay trips. You can now pay for your ride with Google Pay to minimise contact & unlock savings. Book a Ride Hereâs all you have to do: 1. Tap the menu icon on your Uber app 2. Tap on Payment 3. Add payment method with Google Pay 4. Discount will automatically be applied on your first 2 trips paid using Google Pay on Uber Add Google Payâ¯ Terms & Conditions: This offer is only valid until 30th November, 2022. This offer is only applicable to (i) users who are taking their first 2 trips on Uber via Google Pay, and (ii) trip fares of â¹32 or more. To be entitled to receive this offer, Google Pay must be added as a payment method to your Wallet. The discount will only be applied on the first 2 trips taken and paid via Google Pay as a payment method. In case of trip fare less than â¹32, the discount offered is 95% of the trip fare. Help Center Unsubscribe Terms Privacy Email Preferences Uber India Systems Private Limited SCO 300, Sector 29, Gurgaon, Haryana Uber.com"
